id_jogo,cod,rodada,temporada,data,horario,jogo,placar,odds_mandante,odds_empate,odds_visitante,site_apostas,time,pos_rodada,pos_adv_rodada,condicao,pts,vit,diff_gols,pr_vitoria,pr_empate,e_pontos,surpresa,cum_surpresa,cum_pts,cum_vit,cum_saldo,pts_4,trocou,m,di,tratado,periodo
238,201324CAMSAN1,24,2013,2013-09-29,18:30,Atlético-MG - Santos,3-1,1.67,3.8,4.88,11,Atlético-MG,5,9,mandante,3,1,2,0.561265874889527,0.246661581859345,1.93045920652792,1.06954079347208,-1.64880662524369,35,9,2,7,0,1.5,,0,1
249,20138CAMPON1,8,2013,2013-10-03,19:30,Atlético-MG - Ponte Preta,4-0,1.35,4.66,8.59,11,Atlético-MG,1,2,mandante,3,1,4,0.6911523234151,0.200226531461456,2.27368350170676,0.726316498293244,-0.92249012695045,38,10,6,10,0,1.5,,0,1
253,201326CAMCOR1,26,2013,2013-10-06,16:00,Atlético-MG - Corinthians,0-0,2.04,3.22,3.77,11,Atlético-MG,5,9,mandante,1,0,0,0.459843175877874,0.291329217015796,1.67085874464942,-0.670858744649419,-1.59334887159987,39,10,6,8,0,1.5,,0,1
264,201327PONCAM2,27,2013,2013-10-09,21:00,Ponte Preta - Atlético-MG,2-0,2.53,3.22,2.8,11,Atlético-MG,5,19,visitante,0,0,-2,0.335989375830013,0.292164674634794,1.30013280212483,-1.30013280212483,-2.8934816737247,39,10,4,7,0,1.5,,0,1
24,20173CAMPON1,3,2017,2017-05-28,14:00,Atlético-MG - Ponte Preta,2-2,1.5,4.13,6.39,14,Atlético-MG,16,11,mandante,1,0,0,0.625806543405729,0.227290512132832,2.10471014235002,-1.10471014235002,-3.02953123615461,2,0,-1,,0,1.5,,1,0
37,20174PALCAM2,4,2017,2017-06-04,19:00,Palmeiras - Atlético-MG,0-0,1.73,3.68,4.66,15,Atlético-MG,17,13,visitante,1,0,0,0.201615099597809,0.255306077208095,0.86015137600152,0.13984862399848,-2.88968261215613,3,0,-1,,0,1.5,,1,0
41,20175CAMAVA1,5,2017,2017-06-07,22:30,Atlético-MG - Avaí,1-0,1.3,5.14,9.86,15,Atlético-MG,15,17,mandante,3,1,1,0.722144644373643,0.182643587098392,2.34907752021932,0.650922479780679,-2.23876013237546,6,1,0,5,0,1.5,,1,0
57,20176VITCAM2,6,2017,2017-06-11,19:00,Vitória - Atlético-MG,2-0,2.61,3.31,2.64,15,Atlético-MG,16,18,visitante,0,0,-2,0.355988775295761,0.283930624405078,1.35189695029236,-1.35189695029236,-3.59065708266782,6,1,-2,5,0,1.5,,1,0
62,20177CAMCAP1,7,2017,2017-06-14,22:30,Atlético-MG - Atlético-PR,0-1,1.56,3.9,5.99,15,Atlético-MG,17,20,mandante,0,0,-1,0.602252161673034,0.240900864669214,2.04765734968832,-2.04765734968832,-5.63831443235613,6,1,-3,4,0,1.5,,1,0
78,20178SAOCAM2,8,2017,2017-06-18,19:00,São Paulo - Atlético-MG,1-2,1.66,3.75,5.15,15,Atlético-MG,15,14,visitante,3,1,1,0.182623619321432,0.2508031038681,0.798673961832397,2.2013260381676,-3.43698839418853,9,2,-2,6,0,1.5,,1,0
