id_jogo,cod,rodada,temporada,data,horario,jogo,placar,odds_mandante,odds_empate,odds_visitante,site_apostas,time,pos_rodada,pos_adv_rodada,condicao,pts,vit,diff_gols,pr_vitoria,pr_empate,e_pontos,surpresa,cum_surpresa,cum_pts,cum_vit,cum_saldo,pts_4,trocou,m,di,tratado,periodo,original_index
125,201113AMGCTB1,13,2011,2011-07-31,18:30,América-MG - Coritiba,1-3,3.21,3.26,2.18,8,América-MG,20,11,mandante,0,0,-2,0.289256467447048,0.284820018559823,1.15258942090097,-1.15258942090097,-4.94791018602005,8,1,-14,2,1,1.1,0,,,1532
116,201612AMGCOR1,12,2016,2016-06-29,21:45,América-MG - Corinthians,0-2,3.67,3.22,2.07,14,América-MG,20,2,mandante,0,0,-2,0.255578093306288,0.291295528706235,1.0580298086251,-1.0580298086251,-4.83716977331767,8,2,-11,3,0,1.1,0.110740412702381,,,5331
176,201118CAPAMG2,18,2011,2011-08-21,18:00,Atlético-PR - América-MG,2-2,1.58,3.79,5.84,8,América-MG,20,17,visitante,1,0,0,0.160330932555088,0.247053468633698,0.728046266298964,0.271953733701036,-3.93142588919678,13,2,-14,5,0,1.2,0.03799151711197,,,1537
48,20165AMGPON1,5,2016,2016-06-02,19:30,América-MG - Ponte Preta,1-2,2.32,3.14,3.15,13,América-MG,20,10,mandante,0,0,-1,0.403981408114753,0.298483078607079,1.51042730295134,-1.51042730295134,-3.96941740630875,2,0,-4,2,1,1.2,0,,,5324
86,20119CAMAMG2,9,2011,2011-07-10,18:30,Atlético-MG - América-MG,2-0,1.71,3.6,4.79,8,América-MG,18,13,visitante,0,0,-2,0.194866243126976,0.259280362382838,0.843879091763768,-0.843879091763768,-3.10352985046823,6,1,-8,1,1,1.4,0,,,1528
91,201610PALAMG2,10,2016,2016-06-21,21:30,Palmeiras - América-MG,2-0,1.31,5.11,9.23,14,América-MG,20,1,visitante,0,0,-2,0.101501576177357,0.183338463427985,0.487843191960055,-0.487843191960055,-3.07932145565219,8,2,-8,3,0,1.4,0.0242083948160401,,,5329
103,201011VASACG2,11,2010,2010-07-24,18:30,Vasco - Atlético-GO,2-0,1.56,3.74,5.82,5,Atlético-GO,20,14,visitante,0,0,-2,0.159060424640953,0.247521837275493,0.724703111198351,-0.724703111198351,-4.57580968937477,7,2,-7,3,1,1.2,0,,,770
48,20125CTBACG2,5,2012,2012-06-17,18:30,Coritiba - Atlético-GO,3-0,1.85,3.5,4.16,8,Atlético-GO,19,11,visitante,0,0,-3,0.225366329052243,0.267863979673523,0.943962966830253,-0.943962966830253,-4.38675530892573,2,0,-6,1,0,1.2,0.18905438044904,,,2284
133,201014ACGBOT1,14,2010,2010-08-14,18:30,Atlético-GO - Botafogo,0-2,2.46,3.28,2.75,8,Atlético-GO,20,4,mandante,0,0,-2,0.378136816775524,0.283602612581643,1.41801306290822,-1.41801306290822,-6.60219505566373,9,2,-9,2,0,1.4,0.0286880415496906,,,773
150,201715SPOACG2,15,2017,2017-07-21,23:00,Sport - Atlético-GO,4-0,1.47,4.22,7,15,Atlético-GO,20,5,visitante,0,0,-4,0.134758675222773,0.223533347525927,0.627809373194246,-0.627809373194246,-6.63088309721342,8,2,-16,1,1,1.4,0,,,6094
