id_jogo,cod,rodada,temporada,data,horario,jogo,placar,odds_mandante,odds_empate,odds_visitante,site_apostas,time,pos_rodada,pos_adv_rodada,condicao,pts,vit,diff_gols,pr_vitoria,pr_empate,e_pontos,surpresa,cum_surpresa,cum_pts,cum_vit,cum_saldo,pts_4,trocou,m,di,tratado,periodo
48,20115CAMACG2,5,2011,2011-06-19,18:30,Atlético-MG - Atlético-GO,2-2,1.51,3.97,6.03,8,Atlético-GO,9,6,visitante,1,0,0,0.153556306369768,0.233235397332418,0.693904316441721,0.306095683558279,1.47534696439378,7,2,1,4,0,1.5,,1,0
57,20116ACGVAS1,6,2011,2011-06-26,18:30,Atlético-GO - Vasco,0-1,2.51,3.24,2.72,8,Atlético-GO,13,5,mandante,0,0,-1,0.370715619794383,0.287190186939476,1.39933704632263,-1.39933704632263,0.0760099180711511,7,2,0,4,0,1.5,,1,0
66,20117PALACG2,7,2011,2011-06-30,19:30,Palmeiras - Atlético-GO,2-0,1.54,3.93,6.03,8,Atlético-GO,15,3,visitante,0,0,-2,0.155040308635808,0.237886275082423,0.703007200989848,-0.703007200989848,-0.626997282918697,7,2,-2,4,0,1.5,,1,0
76,20118BOTACG2,8,2011,2011-07-07,19:30,Botafogo - Atlético-GO,1-1,1.48,3.99,6.85,8,Atlético-GO,15,8,visitante,1,0,0,0.136143881110417,0.233730723209613,0.642162366540864,0.357837633459136,-0.269159649459561,8,2,-2,2,0,1.5,,1,0
82,20119ACGCOR1,9,2011,2011-07-10,16:00,Atlético-GO - Corinthians,0-1,3.07,3.36,2.2,8,Atlético-GO,17,1,mandante,0,0,-1,0.302192860530146,0.276110738639151,1.18268932022959,-1.18268932022959,-1.45184896968915,8,2,-3,1,0,1.5,,1,0
90,201110ACGAVA1,10,2011,2011-07-16,18:30,Atlético-GO - Avaí,0-1,1.63,3.77,5.02,8,Atlético-GO,17,18,mandante,0,0,-1,0.569131900484466,0.246070291190897,1.95346599264429,-1.95346599264429,-3.40531496233344,8,2,-4,1,1,1.5,0,1,
103,201111SAOACG2,11,2011,2011-07-23,18:30,São Paulo - Atlético-GO,2-2,1.41,4.11,8.04,8,Atlético-GO,17,4,visitante,1,0,0,0.115495686176033,0.225933167118079,0.572420225646177,0.427579774353823,-2.97773518797962,9,2,-4,2,0,1.5,,1,1
109,201112ACGCRU1,12,2011,2011-07-27,19:30,Atlético-GO - Cruzeiro,2-0,3.59,3.31,2.03,8,Atlético-GO,15,7,mandante,3,1,2,0.259533640531636,0.281488147887786,1.06008906948269,1.93991093051731,-1.03782425746231,12,3,-2,4,0,1.5,,1,1
123,201113INTACG2,13,2011,2011-07-31,16:00,Internacional - Atlético-GO,0-0,1.76,3.41,4.62,8,Atlético-GO,15,7,visitante,1,0,0,0.20080971659919,0.272064777327935,0.874493927125506,0.125506072874494,-0.912318184587821,13,3,-2,5,0,1.5,,1,1
135,201114ACGCAP1,14,2011,2011-08-04,21:00,Atlético-GO - Atlético-PR,0-3,1.95,3.49,3.63,8,Atlético-GO,16,19,mandante,0,0,-3,0.477115321605713,0.266583059349897,1.69792902416703,-1.69792902416703,-2.61024720875485,13,3,-5,5,0,1.5,,1,1
146,201115BAHACG2,15,2011,2011-08-07,18:30,Bahia - Atlético-GO,2-1,1.85,3.52,4.03,8,Atlético-GO,17,13,visitante,0,0,-1,0.231306676707006,0.264819859979896,0.958739890100913,-0.958739890100913,-3.56898709885577,13,3,-6,4,0,1.5,0.0403177502657401,1,1
47,20175ACGPON1,5,2017,2017-06-08,22:30,Atlético-GO - Ponte Preta,3-0,3.04,3.25,2.33,15,Atlético-GO,18,8,mandante,3,1,3,0.308631911867198,0.288689542177317,1.21458527777891,1.78541472222109,-1.47819897083615,3,1,-7,3,0,1.5,,0,0
58,20176CRUACG2,6,2017,2017-06-11,21:30,Cruzeiro - Atlético-GO,2-0,1.36,4.75,8.87,14,Atlético-GO,19,4,visitante,0,0,-2,0.106502768907127,0.198879907411834,0.518388214133214,-0.518388214133214,-1.99658718496937,3,1,-9,3,0,1.5,,0,0
61,20177ACGAVA1,7,2017,2017-06-14,22:30,Atlético-GO - Avaí,3-1,1.92,3.28,4.22,15,Atlético-GO,16,19,mandante,3,1,2,0.490113874568013,0.286895926576398,1.75723755028044,1.24276244971956,-0.753824735249805,6,2,-7,6,0,1.5,,0,0
71,20178ACGCAP1,8,2017,2017-06-17,19:00,Atlético-GO - Atlético-PR,0-1,2.27,3.17,3.25,15,Atlético-GO,19,18,mandante,0,0,-1,0.414155869737376,0.296572184322979,1.53903979353511,-1.53903979353511,-2.29286452878491,6,2,-8,6,0,1.5,,0,0
83,20179PALACG2,9,2017,2017-06-22,00:00,Palmeiras - Atlético-GO,1-0,1.24,5.61,12.61,15,Atlético-GO,19,9,visitante,0,0,-1,0.0745316060766123,0.167530045031387,0.391124863261224,-0.391124863261224,-2.68398939204614,6,2,-9,3,0,1.5,,0,0
92,201710VASACG2,10,2017,2017-06-25,14:00,Vasco - Atlético-GO,1-0,1.53,3.94,6.41,15,Atlético-GO,20,6,visitante,0,0,-1,0.146704014757525,0.238673282892319,0.678785327164895,-0.678785327164895,-3.36277471921103,6,2,-10,3,0,1.5,0.04254024312241,0,
102,201711ACGSAN1,11,2017,2017-07-01,22:00,Atlético-GO - Santos,1-1,2.65,3.2,2.68,15,Atlético-GO,20,5,mandante,1,0,0,0.354996274526037,0.293981289841874,1.35897011341999,-0.358970113419985,-3.72174483263102,7,2,-10,1,0,1.5,,0,1
111,201712ACGVIT1,12,2017,2017-07-08,19:00,Atlético-GO - Vitória,1-2,2.15,3.2,3.48,15,Atlético-GO,20,17,mandante,0,0,-1,0.436740136481293,0.293434779198369,1.60365518864225,-1.60365518864225,-5.32540002127326,7,2,-11,1,0,1.5,,0,1
128,201713SAOACG2,13,2017,2017-07-13,22:30,São Paulo - Atlético-GO,2-2,1.37,4.67,8.56,15,Atlético-GO,20,17,visitante,1,0,0,0.110118192160798,0.201844052440349,0.532198628922742,0.467801371077258,-4.85759865019601,8,2,-11,2,0,1.5,,0,1
133,201714ACGCAM1,14,2017,2017-07-16,19:00,Atlético-GO - Atlético-MG,1-2,3.26,3.35,2.18,15,Atlético-GO,20,10,mandante,0,0,-1,0.288305146304104,0.28055963491086,1.14547507382317,-1.14547507382317,-6.00307372401918,8,2,-12,2,0,1.5,,0,1
150,201715SPOACG2,15,2017,2017-07-21,23:00,Sport - Atlético-GO,4-0,1.47,4.22,7,15,Atlético-GO,20,5,visitante,0,0,-4,0.134758675222773,0.223533347525927,0.627809373194246,-0.627809373194246,-6.63088309721342,8,2,-16,1,1,1.5,0,0,1
103,201311FLACAM2,11,2013,2013-08-04,16:00,Flamengo - Atlético-MG,3-0,2.26,3.21,3.18,11,Atlético-MG,18,12,visitante,0,0,-3,0.294313811401587,0.291563215033348,1.17450464923811,-1.17450464923811,-3.94600271561635,10,3,-7,3,0,1.5,,0,0
112,201312CAMBOT1,12,2013,2013-08-07,21:50,Atlético-MG - Botafogo,2-2,2.04,3.32,3.62,10,Atlético-MG,16,2,mandante,1,0,0,0.459138141809291,0.282121026894866,1.65953545232274,-0.659535452322738,-4.60553816793909,11,3,-7,1,0,1.5,,0,0
118,201313NAUCAM2,13,2013,2013-08-10,18:30,Náutico - Atlético-MG,0-0,3.48,3.37,2.06,9,Atlético-MG,16,20,visitante,1,0,0,0.453879080135921,0.277445372427299,1.63908261283506,-0.639082612835061,-5.24462078077415,12,3,-7,2,0,1.5,,0,0
127,201314CAMBAH1,14,2013,2013-08-14,19:30,Atlético-MG - Bahia,2-0,1.54,3.83,6.43,9,Atlético-MG,15,9,mandante,3,1,2,0.609165093884578,0.24493844506064,2.07243372671437,0.927566273285626,-4.31705450748852,15,4,-5,5,0,1.5,,0,0
146,201315INTCAM2,15,2013,2013-08-18,18:30,Internacional - Atlético-MG,0-0,2.02,3.38,3.64,9,Atlético-MG,14,8,visitante,1,0,0,0.257804830159042,0.277635970940507,1.05105046141763,-0.0510504614176321,-4.36810496890616,16,4,-5,6,0,1.5,,0,0
151,201316CAMPOR1,16,2013,2013-08-25,16:00,Atlético-MG - Portuguesa,2-1,1.54,3.82,6.47,9,Atlético-MG,12,19,mandante,3,1,1,0.609323997830482,0.24564370593166,2.07361569942311,0.926384300576895,-3.44172066832926,19,5,-4,8,0,1.5,0.0495169652953198,0,
157,201317GOICAM2,17,2013,2013-08-31,18:30,Goiás - Atlético-MG,0-0,2.43,3.24,2.9,9,Atlético-MG,13,9,visitante,1,0,0,0.323784143904064,0.289806795469687,1.26115922718188,-0.261159227181879,-3.70287989551114,20,5,-4,8,0,1.5,,0,1
172,201318CAMFLU1,18,2013,2013-09-04,21:50,Atlético-MG - Fluminense,2-2,1.86,3.42,4.23,9,Atlético-MG,15,16,mandante,1,0,0,0.504140007527286,0.274181407602559,1.78660143018442,-0.786601430184418,-4.48948132569556,21,5,-4,6,0,1.5,,0,1
181,201319VITCAM2,19,2013,2013-09-07,18:30,Vitória - Atlético-MG,1-1,3.07,3.27,2.31,9,Atlético-MG,15,12,visitante,1,0,0,0.406691702823252,0.28729597355404,1.5073710820238,-0.507371082023796,-4.99685240771935,22,5,-4,6,0,1.5,,0,1
196,201320CAMCTB1,20,2013,2013-09-12,21:00,Atlético-MG - Coritiba,3-0,1.55,4.04,5.82,9,Atlético-MG,10,8,mandante,3,1,3,0.606065605039721,0.232525170250388,2.05072198536955,0.949278014630449,-4.0475743930889,25,6,-1,6,0,1.5,,0,1
206,201321GRECAM2,21,2013,2013-09-15,18:30,Grêmio - Atlético-MG,0-1,1.98,3.28,3.91,11,Atlético-MG,10,3,visitante,3,1,1,0.239991131148147,0.28608698865526,1.0060603820997,1.9939396179003,-2.05363477518861,28,7,0,8,0,1.5,,0,1
99,201710CHACAM2,10,2017,2017-06-25,22:00,Chapecoense - Atlético-MG,0-1,1.72,3.71,4.72,14,Atlético-MG,14,13,visitante,3,1,1,0.199345220987917,0.253614405138266,0.851650068102016,2.14834993189798,-2.46630381019401,13,3,-1,7,0,1.5,,1,0
103,201711CAMCRU1,11,2017,2017-07-02,19:00,Atlético-MG - Cruzeiro,3-1,2.37,3.24,3.01,15,Atlético-MG,7,13,mandante,3,1,2,0.39700548343368,0.29040215917834,1.48141860947938,1.51858139052062,-0.947722419673387,16,4,1,10,0,1.5,,1,0
118,201712BOTCAM2,12,2017,2017-07-09,22:00,Botafogo - Atlético-MG,1-1,2.03,3.35,3.69,15,Atlético-MG,8,11,visitante,1,0,0,0.2551523860622,0.281048449125229,1.04650560731183,-0.0465056073118297,-0.994228026985217,17,4,1,8,0,1.5,,1,0
121,201713CAMSAN1,13,2017,2017-07-12,22:30,Atlético-MG - Santos,0-1,1.6,3.79,5.69,15,Atlético-MG,11,3,mandante,0,0,-1,0.587075416994482,0.24784186469424,2.00906811567769,-2.00906811567769,-3.0032961426629,17,4,0,7,0,1.5,,1,0
133,201714ACGCAM2,14,2017,2017-07-16,19:00,Atlético-GO - Atlético-MG,1-2,3.26,3.35,2.18,15,Atlético-MG,10,20,visitante,3,1,1,0.431135218785036,0.28055963491086,1.57396529126597,1.42603470873403,-1.57726143392887,20,5,1,7,0,1.5,,1,0
145,201715CAMBAH1,15,2017,2017-07-20,00:45,Atlético-MG - Bahia,0-2,1.71,3.59,5.03,15,Atlético-MG,11,12,mandante,0,0,-2,0.550574884367597,0.262251546592922,1.91397619969571,-1.91397619969571,-3.49123763362458,20,5,-1,4,1,1.5,0,1,
158,201716CAMVAS1,16,2017,2017-07-23,22:00,Atlético-MG - Vasco,1-2,1.76,3.65,4.57,15,Atlético-MG,13,8,mandante,0,0,-1,0.535529108088238,0.258227734311041,1.86481505857575,-1.86481505857575,-5.35605269220034,20,5,-2,3,0,1.5,,1,1
