id_jogo,cod,rodada,temporada,data,horario,jogo,placar,odds_mandante,odds_empate,odds_visitante,site_apostas,time,pos_rodada,pos_adv_rodada,condicao,pts,vit,diff_gols,pr_vitoria,pr_empate,e_pontos,surpresa,cum_surpresa,cum_pts,cum_vit,cum_saldo,pts_4,trocou,m,di,tratado,periodo
112,201112GREAMG2,12,2011,2011-07-27,19:30,Grêmio - América-MG,1-1,1.37,4.49,8.11,8,América-MG,18,14,visitante,1,0,0,0.114600779865824,0.206996063410208,0.550798403007681,0.449201596992319,-3.79532076511909,8,1,-12,2,0,1.1,,1,0
125,201113AMGCTB1,13,2011,2011-07-31,18:30,América-MG - Coritiba,1-3,3.21,3.26,2.18,8,América-MG,20,11,mandante,0,0,-2,0.289256467447048,0.284820018559823,1.15258942090097,-1.15258942090097,-4.94791018602005,8,1,-14,2,1,1.1,0,1,
128,201114CORAMG2,14,2011,2011-08-03,19:30,Corinthians - América-MG,2-1,1.29,5.02,10.05,8,América-MG,20,1,visitante,0,0,-1,0.0926553090298793,0.185495190388503,0.463461117478141,-0.463461117478141,-5.4113713034982,8,1,-15,2,0,1.1,,1,1
103,201611AMGCAM1,11,2016,2016-06-26,11:00,América-MG - Atlético-MG,0-1,6.01,4.02,1.53,13,América-MG,20,8,mandante,0,0,-1,0.155687349548551,0.232756460394724,0.699818509040376,-0.699818509040376,-3.77913996469257,8,2,-9,3,0,1.1,,0,0
116,201612AMGCOR1,12,2016,2016-06-29,21:45,América-MG - Corinthians,0-2,3.67,3.22,2.07,14,América-MG,20,2,mandante,0,0,-2,0.255578093306288,0.291295528706235,1.0580298086251,-1.0580298086251,-4.83716977331767,8,2,-11,3,0,1.1,0.110740412702381,0,
122,201613CAPAMG2,13,2016,2016-07-02,18:30,Atlético-PR - América-MG,1-0,1.48,4.04,6.79,14,América-MG,20,6,visitante,0,0,-1,0.137579383341003,0.231228716060746,0.643966866083755,-0.643966866083755,-5.48113663940142,8,2,-12,0,0,1.1,,0,1
166,201117AMGSAO1,17,2011,2011-08-18,21:00,América-MG - São Paulo,1-1,3.5,3.25,2.08,8,América-MG,20,3,mandante,1,0,0,0.265984654731458,0.286445012787724,1.0843989769821,-0.0843989769820972,-4.20337962289781,12,2,-14,4,0,1.2,,0,0
176,201118CAPAMG2,18,2011,2011-08-21,18:00,Atlético-PR - América-MG,2-2,1.58,3.79,5.84,8,América-MG,20,17,visitante,1,0,0,0.160330932555088,0.247053468633698,0.728046266298964,0.271953733701036,-3.93142588919678,13,2,-14,5,0,1.2,0.03799151711197,0,
180,201119AMGACG1,19,2011,2011-08-27,18:00,América-MG - Atlético-GO,1-2,2.33,3.32,2.92,8,América-MG,20,12,mandante,0,0,-1,0.400039614419649,0.280750693252344,1.48086953651129,-1.48086953651129,-5.41229542570807,13,2,-15,2,0,1.2,,0,1
31,20164CRUAMG2,4,2016,2016-05-28,16:00,Cruzeiro - América-MG,1-1,1.54,3.87,6.34,13,América-MG,18,19,visitante,1,0,0,0.148035728479453,0.242518480247993,0.686625665686353,0.313374334313647,-2.45899010335741,2,0,-3,,0,1.2,,1,0
